country,_date,category_class,subject,hazards,reason_text,reference
Ecuador,2023-08-24 14:40:07,Other,Sulfites detected in peeled shrimp tail,sulphite  too high content - {food additives and flavourings},Sulfites detected in peeled shrimp tail | sulphite  too high content - {food additives and flavourings},2023.5741
Ecuador,2023-08-16 14:29:04,SPS,Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimp from Ecuador.,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimp from Ecuador. | Vibrio cholerae  - {pathogenic micro-organisms},2023.554
Ecuador,2023-08-16 12:05:06,SPS,Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5532
Ecuador,2023-08-08 17:23:00,Other,To high content of sulphite in frozen shrimp from Ecuador,sulphite  too high content - {food additives and flavourings},To high content of sulphite in frozen shrimp from Ecuador | sulphite  too high content - {food additives and flavourings},2023.5376
Ecuador,2023-08-08 17:22:36,Other,To high content of sulphite in frozen shrimp from Ecuador,sulphite  too high content - {food additives and flavourings},To high content of sulphite in frozen shrimp from Ecuador | sulphite  too high content - {food additives and flavourings},2023.5375
Ecuador,2023-08-08 17:21:49,Other,To high content of sulphite in frozen shrimp from Ecuador,sulphite  too high content - {food additives and flavourings},To high content of sulphite in frozen shrimp from Ecuador | sulphite  too high content - {food additives and flavourings},2023.5374
Ecuador,2023-08-08 12:42:10,SPS,Vibrio cholerae in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5354
Ecuador,2023-08-04 13:19:46,SPS,Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos de Ecuador. Vibrio cholerae in shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.53
Ecuador,2023-08-03 14:28:47,SPS,Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholera in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholera in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5276
Ecuador,2023-08-03 14:12:06,SPS,Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador,Vibrio cholerae  - {pathogenic micro-organisms},Vibrio cholerae en langostinos congelados de Ecuador. Vibrio cholerae in frozen shrimps from Ecuador | Vibrio cholerae  - {pathogenic micro-organisms},2023.5274
