MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,REFUSAL_DATE_PARSED,refusal_row_id,mapped_charge_count,mapped_charge_categories,mapped_charge_codes,sps_tbt_category,country_name,period
3008348941,Innovative Cuisine Pvt Ltd,"BLOCK NO. 512, KARJAN VEMARDI ROAD","OPP. COSMOFILMS, VILLAGE-KANDARI",VADODARA,Gujarat,IN,24TGD25,08-Feb-24,DNEI,8KP-0047080-8,21,1,,No,No,241,SPINACH (LEAF & STEM VEGETABLE),2024-02-08,10673,1,SPS,PESTICIDE-241,SPS,India,2024-2026
3013947420,ARISTO PHARMACEUTCALS PVT LTD,Plot No 2040-46,,East Ikkim,,IN,62TDY07,17-Nov-25,DSEI,799-8203328-6,10003,1,,No,No,75,PANTOPRAZOLE SODIUM,2025-11-17,10674,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3014198476,JM LABORATORIES,Village Bhanat Ro- Ghat,,Solan,,IN,61WDA47,13-Feb-24,DSEI,799-8540701-4,11,12,,No,No,75,KETOCONAZOLE (ANTI-FUNGAL) (NOT ANTIBIOTIC),2024-02-13,10675,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3040922356,SANSKAR AYUSHI MEDICARE PVT. LMT,"No. 673 Imlikhera, Bhag",,Haridwar,,IN,54YGY99,17-Dec-25,DSEI,799-8515744-7,60003,1,,No,No,75,"VITAMIN, MINERAL, PROTEINS AND UNCONVENTIONAL DIETARY SPECIALITIES FOR HUMANS AND ANIMALS, N.E.C.",2025-12-17,10676,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3038385267,DR. VISHWA NATH SOOD,2,,Ludhiana,Punjab,IN,56YCY99,02-Jul-25,DSEI,799-8834520-4,12,1,,No,No,75,ANTIBIOTIC N.E.C.,2025-07-02,10677,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3003386586,ITC LIMITED,VIRGINIA HOUSE,37 J.L. NEHRU ROAD,Kolkata,West Bengal,IN,61LCL14,30-Jun-25,DSEI,799-8489363-7,22,5,,No,No,75,CHLORHEXIDINE GLUCONATE,2025-06-30,10678,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3018179449,VAHDAM TEAS PVT LT,"C 12/3, Sector 85",National Capital Region,Noida,Uttar Pradesh,IN,54ECT94,13-May-25,DSEI,799-5432625-3,11,1,,No,No,3560,ASHWAGANDHA (HERBAL & BOTANICAL TEAS),2025-05-13,10679,1,SPS,SUPPL GMP-3560,SPS,India,2024-2026
3017225380,MERCKS MSD PHARMACEUTICALS,Platina 8th Floor C.59,,Mumbai,,IN,61PCY26,07-Jul-25,DNBI,AEK-7236284-9,22,1,,No,No,"118, 3280",METFORMIN (ANTI-DIABETIC),2025-07-07,10680,2,TBT,"FRNMFGREG-3280, NOT LISTED-118",TBT,India,2024-2026
3039803541,ABBOTT HEALTHCARE,35 Freedom Avenue Binh,,Binh Duong,,VN,65JCC31,28-Oct-25,DSEI,AEK-7670187-7,10002,1,,No,No,75,PROGESTERONE (PROGESTIN),2025-10-28,10681,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,Vietnam,2024-2026
3016795085,MEDIRICH LTD,12th Mile Old Madra Rd,,Banglore,,IN,56YCY99,31-Jan-24,DSEI,799-9008820-5,71,1,,No,No,75,ANTIBIOTIC N.E.C.,2024-01-31,10682,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3013520527,MMG HEALTHCARE,TRILOKPUR RD,,SIRMOUR,,IN,56KCY10,26-Jan-24,DSEI,799-9095963-7,11,5,,No,No,75,CHLORAMPHENICOL,2024-01-26,10683,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3008770965,Centaur Pharmaceuticals,Centaur House,Near Grand Hyatt,Mumbai,Maharashtra,IN,66FDA99,14-Mar-25,DSEI,799-6241705-2,51,1,,No,No,75,SUPPRESSANT N.E.C.,2025-03-14,10684,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3016622790,JAYWIN REMEDIES PVT LTD,122-1 Ravi Ind Estate B,,Gujrat,,IN,62KCB10,13-Jun-24,DSEI,799-1007603-4,11,1,,No,No,75,"OMEPRAZOLE (ANTI-PERISTALTIC, ANTI-DIARRHEAL)",2024-06-13,10685,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3031980482,KEYBRD,Nation Road,,Sirnoor,,IN,56GDY99,16-Sep-24,DSEI,799-3137167-9,21,13,,No,No,75,ANTIFUNGAL N.E.C.,2024-09-16,10686,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3027480270,ALLEN HOMEOPATHY,Unit-Ii Survey No. 1356,,Nandigaon,,IN,66XBL07,05-Nov-24,DSEI,799-3800269-9,21,1,,No,No,75,HOMEOPATHIC MULTIPLE INDICATIONS,2024-11-05,10687,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3009335531,Kesari Kuteeram Private,2/220,,Chennai,Tamil Nadu,IN,66FCL99,15-Nov-24,DSEI,799-4157083-1,11,1,,No,No,75,SUPPRESSANT N.E.C.,2024-11-15,10688,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3027453718,NESTLE INDIA LIMITED,Sanand Ii Plot No Sm - 38,"Gidc Industrial Estate; Siyawada Chokadi, Near Gidc Office",Bakrana,Gujarat,IN,04CGT99,12-May-25,DWCI,8L5-0002575-0,71,1,B,No,No,"260, 3300","NOODLES AND NOODLE PRODUCTS, N.E.C.",2025-05-12,10689,2,TBT,"ALLERGEN-3300, FALSE-260",TBT,India,2024-2026
3014771933,BIKAJI FOODS INTERNATIONAL LIMITED,"E-558-561, C-569-572, E-573-577, F-585-592","Karni Extension, Riico Industrial Area",Bikaner,Rajasthan,IN,07BGT99,19-Aug-25,DWCI,8P5-0079699-7,10002,11,,No,No,9,"FRIED SNACK FOODS, N.E.C.",2025-08-19,10690,1,SPS,SALMONELLA-9,SPS,India,2024-2026
3008348941,Innovative Cuisine Pvt Ltd,"BLOCK NO. 512, KARJAN VEMARDI ROAD","OPP. COSMOFILMS, VILLAGE-KANDARI",VADODARA,Gujarat,IN,24EGD09,25-Jul-25,DNEI,8KP-0063706-7,92,1,,No,No,9,"MUNG BEAN, BEAN AND PEA SPROUTS",2025-07-25,10691,1,SPS,SALMONELLA-9,SPS,India,2024-2026
3012921428,KHYATI  ADVISORY SERVICES LTD,54 Gulmohar Gross Road No 9,,Mumbai,Maharashtra,IN,26CGY01,17-Jun-24,DNBI,8L5-0002169-2,161,1,,No,No,482,"COCONUT OIL, REFINED, SINGLE INGREDIENT",2024-06-17,10692,1,TBT,NUTRIT LBL-482,TBT,India,2024-2026
3016830363,SUN PHARMA,Palashbari,,Assam,,IN,61EDA09,02-Jul-25,DSEI,799-8547610-1,22,1,,No,No,75,MONTELUKAST SODIUM (ANTI-ASTHMATIC),2025-07-02,10693,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3016897830,LUPIN LTD,"4th A Mile, Bhasmey",,East Sikkim,,IN,65RDY19,26-Jan-24,DSEI,799-9095963-7,11,6,,No,No,75,SODIUM CHLORIDE (REPLENISHER),2024-01-26,10694,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3031557395,APPLE BIOTECH,Vill Deep Nagar Teh Pay,,Ludhiana,,IN,64LCY44,26-Aug-24,DSEI,799-2340506-3,11,2,,No,No,75,METHYLPREDNISOLONE (GLUCOCORTICOID),2024-08-26,10695,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
3030588845,LEEFORD HEALTHCARE,96w5+F84 Bhura Rd Arya,,Kairana,,IN,54AGA14,09-Aug-24,DSEI,799-2438868-0,11,5,,No,No,75,VIT D,2024-08-09,10696,1,Other/Unmatched,UNAPPROVED-75,Other/Unmatched,India,2024-2026
